cod_reclamo,cod_representante,cod_pedido,cod_seguimiento,cod_tipo_reclamo,cod_nivel_urgencia,cod_estado_reclamo,comentario,fecha_suceso,fecha_reclamo
1,1,1,1,C,A,C,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024-03-25T11:56:13Z,2024-03-11T03:21:08Z
2,2,2,2,C,B,C,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,2024-03-16T16:21:42Z,2024-03-23T17:54:41Z
3,3,3,3,G,M,C,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,2024-03-22T02:42:12Z,2024-04-01T04:21:38Z
4,4,4,4,B,A,B,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,2024-03-08T00:55:36Z,2024-03-20T23:59:55Z
5,5,5,5,B,B,D,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,2024-03-15T11:28:50Z,2024-03-15T14:04:17Z
6,6,6,6,D,M,A,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,2024-03-07T18:58:16Z,2024-03-16T01:53:37Z
7,7,7,7,A,M,D,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024-03-18T07:04:29Z,2024-03-22T00:27:57Z
8,8,8,8,G,M,A,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,2024-03-17T12:13:44Z,2024-03-27T01:17:39Z
9,9,9,9,C,M,B,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,2024-03-11T06:43:05Z,2024-03-24T01:24:07Z
10,10,10,10,B,M,C,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,2024-03-07T16:40:35Z,2024-04-06T12:35:53Z
11,11,11,11,E,B,B,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,2024-03-10T14:50:17Z,2024-03-30T17:34:12Z
12,12,12,12,G,M,D,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,2024-03-11T11:25:49Z,2024-03-17T05:23:15Z
13,13,13,13,E,M,C,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024-03-10T00:14:48Z,2024-03-14T16:52:23Z
14,14,14,14,E,B,C,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,2024-03-26T19:21:05Z,2024-04-07T22:14:52Z
15,15,15,15,E,M,D,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,2024-03-14T17:32:08Z,2024-04-06T02:04:01Z
16,16,16,16,F,B,B,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,2024-03-21T03:54:48Z,2024-03-27T09:39:24Z
17,17,17,17,F,A,B,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,2024-03-22T16:58:08Z,2024-03-26T01:34:22Z
18,18,18,18,D,B,C,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,2024-03-14T10:31:59Z,2024-03-18T01:25:17Z
19,19,19,19,E,M,D,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,2024-03-09T01:19:45Z,2024-03-15T04:19:06Z
20,20,20,20,A,A,C,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,2024-03-28T13:20:30Z,2024-03-29T08:58:54Z
21,21,21,21,F,B,B,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,2024-03-12T03:01:09Z,2024-03-30T00:56:32Z
22,22,22,22,F,B,C,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,2024-03-21T01:48:55Z,2024-04-05T20:58:30Z
23,23,23,23,G,M,D,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,2024-03-29T13:23:17Z,2024-03-20T08:29:52Z
24,24,24,24,D,B,D,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,2024-04-03T18:03:35Z,2024-03-29T13:00:10Z
25,25,25,25,E,A,D,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,2024-03-15T12:49:04Z,2024-04-06T01:24:14Z
26,26,26,26,A,A,C,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,2024-03-06T23:13:09Z,2024-03-27T14:59:42Z
27,27,27,27,F,B,A,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024-03-31T17:32:38Z,2024-03-24T23:34:23Z
28,28,28,28,A,B,A,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,2024-03-23T08:00:12Z,2024-03-18T16:22:48Z
29,29,29,29,C,B,D,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,2024-03-15T12:48:40Z,2024-03-16T04:46:34Z
30,30,30,30,D,A,B,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024-03-31T19:47:27Z,2024-04-07T06:42:57Z
31,31,31,31,G,B,C,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,2024-03-16T08:20:27Z,2024-03-30T07:48:13Z
32,32,32,32,G,B,A,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,2024-03-28T20:13:05Z,2024-03-13T07:30:01Z
33,33,33,33,D,B,D,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,2024-03-10T10:35:45Z,2024-03-26T10:13:28Z
34,34,34,34,G,B,A,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,2024-03-28T22:20:45Z,2024-04-06T14:03:01Z
35,35,35,35,D,B,A,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,2024-03-08T12:06:57Z,2024-03-26T19:11:14Z
36,36,36,36,D,B,B,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024-03-05T21:25:12Z,2024-03-15T20:43:58Z
37,37,37,37,C,M,B,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024-03-22T19:10:07Z,2024-03-10T12:05:36Z
38,38,38,38,A,B,D,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,2024-03-15T23:50:42Z,2024-04-01T13:49:36Z
39,39,39,39,C,M,C,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,2024-03-16T22:41:25Z,2024-03-18T15:10:37Z
40,40,40,40,A,B,D,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024-03-13T03:17:22Z,2024-03-17T20:20:33Z
41,41,41,41,E,M,A,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,2024-03-24T14:14:05Z,2024-03-29T21:53:08Z
42,42,42,42,B,M,B,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,2024-03-24T11:42:58Z,2024-03-12T12:11:57Z
43,43,43,43,A,B,B,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024-03-04T20:58:55Z,2024-04-05T10:26:07Z
44,44,44,44,A,M,C,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,2024-03-31T18:52:31Z,2024-03-13T04:31:56Z
45,45,45,45,F,A,C,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,2024-03-14T20:08:10Z,2024-03-21T22:56:24Z
46,46,46,46,F,A,B,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,2024-03-17T11:57:41Z,2024-03-29T22:59:39Z
47,47,47,47,B,M,A,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,2024-03-24T02:14:20Z,2024-03-14T04:34:17Z
48,48,48,48,G,A,C,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,2024-03-09T20:27:16Z,2024-03-20T02:56:53Z
49,49,49,49,C,M,C,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,2024-04-03T15:29:02Z,2024-03-14T03:53:58Z
50,50,50,50,G,A,A,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,2024-03-24T08:44:21Z,2024-03-21T00:24:16Z
51,51,51,51,D,A,A,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,2024-03-16T09:59:41Z,2024-03-27T11:05:18Z
52,52,52,52,B,M,B,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,2024-03-22T04:28:15Z,2024-03-12T00:59:09Z
53,53,53,53,G,A,C,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,2024-03-10T05:53:02Z,2024-03-28T13:12:52Z
