cod_reclamo,cod_representante,cod_pedido,cod_seguimiento,cod_tipo_reclamo,cod_nivel_urgencia,cod_estado_reclamo,comentario,fecha_suceso,fecha_reclamo
1,1,1,1,G,B,B,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,"error: invalid date ""2024-03-05""",2024-03-25
2,2,2,2,F,A,A,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,"error: invalid date ""2024-03-05""",2024-04-01
3,3,3,3,E,A,C,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,"error: invalid date ""2024-03-05""",2024-03-30
4,4,4,4,B,M,C,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,"error: invalid date ""2024-03-05""",2024-03-27
5,5,5,5,B,A,D,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,"error: invalid date ""2024-03-05""",2024-04-01
6,6,6,6,B,M,B,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,"error: invalid date ""2024-03-05""",2024-03-28
7,7,7,7,C,B,D,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,"error: invalid date ""2024-03-05""",2024-03-14
8,8,8,8,G,B,D,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,"error: invalid date ""2024-03-05""",2024-03-21
9,9,9,9,E,A,A,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,"error: invalid date ""2024-03-05""",2024-04-04
10,10,10,10,A,M,B,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,"error: invalid date ""2024-03-05""",2024-03-31
11,11,11,11,B,M,A,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,"error: invalid date ""2024-03-05""",2024-03-23
12,12,12,12,A,B,C,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,"error: invalid date ""2024-03-05""",2024-03-17
13,13,13,13,A,M,A,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,"error: invalid date ""2024-03-05""",2024-03-11
14,14,14,14,F,B,C,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,"error: invalid date ""2024-03-05""",2024-04-05
15,15,15,15,D,B,C,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,"error: invalid date ""2024-03-05""",2024-03-18
16,16,16,16,B,B,B,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,"error: invalid date ""2024-03-05""",2024-03-13
17,17,17,17,C,M,D,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,"error: invalid date ""2024-03-05""",2024-03-10
18,18,18,18,E,B,A,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,"error: invalid date ""2024-03-05""",2024-03-20
19,19,19,19,F,B,B,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,"error: invalid date ""2024-03-05""",2024-04-03
20,20,20,20,A,A,C,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,"error: invalid date ""2024-03-05""",2024-03-15
21,21,21,21,D,A,A,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,"error: invalid date ""2024-03-05""",2024-04-05
22,22,22,22,G,A,A,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,"error: invalid date ""2024-03-05""",2024-03-19
23,23,23,23,C,B,C,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,"error: invalid date ""2024-03-05""",2024-03-09
24,24,24,24,F,B,B,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,"error: invalid date ""2024-03-05""",2024-03-25
25,25,25,25,D,M,A,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,"error: invalid date ""2024-03-05""",2024-03-17
26,26,26,26,D,B,B,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,"error: invalid date ""2024-03-05""",2024-03-13
27,27,27,27,E,M,C,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,"error: invalid date ""2024-03-05""",2024-03-25
28,28,28,28,D,A,C,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,"error: invalid date ""2024-03-05""",2024-04-02
29,29,29,29,F,M,C,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,"error: invalid date ""2024-03-05""",2024-03-23
30,30,30,30,G,M,D,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,"error: invalid date ""2024-03-05""",2024-04-04
31,31,31,31,E,M,C,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,"error: invalid date ""2024-03-05""",2024-03-16
32,32,32,32,E,M,A,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,"error: invalid date ""2024-03-05""",2024-03-14
33,33,33,33,C,A,B,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,"error: invalid date ""2024-03-05""",2024-03-16
34,34,34,34,B,B,D,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,"error: invalid date ""2024-03-05""",2024-04-02
35,35,35,35,A,A,B,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,"error: invalid date ""2024-03-05""",2024-03-27
36,36,36,36,F,M,A,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,"error: invalid date ""2024-03-05""",2024-03-15
37,37,37,37,C,M,A,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,"error: invalid date ""2024-03-05""",2024-03-13
38,38,38,38,F,M,D,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,"error: invalid date ""2024-03-05""",2024-04-07
39,39,39,39,A,B,B,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,"error: invalid date ""2024-03-05""",2024-03-11
40,40,40,40,E,A,B,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,"error: invalid date ""2024-03-05""",2024-04-03
41,41,41,41,E,B,D,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,"error: invalid date ""2024-03-05""",2024-03-14
42,42,42,42,B,M,C,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,"error: invalid date ""2024-03-05""",2024-03-12
43,43,43,43,D,B,B,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,"error: invalid date ""2024-03-05""",2024-04-02
44,44,44,44,B,B,B,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,"error: invalid date ""2024-03-05""",2024-03-15
45,45,45,45,B,A,A,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,"error: invalid date ""2024-03-05""",2024-03-30
46,46,46,46,A,B,B,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,"error: invalid date ""2024-03-05""",2024-04-04
47,47,47,47,D,M,B,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,"error: invalid date ""2024-03-05""",2024-03-16
48,48,48,48,C,M,D,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,"error: invalid date ""2024-03-05""",2024-04-05
49,49,49,49,G,A,D,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,"error: invalid date ""2024-03-05""",2024-03-24
50,50,50,50,F,B,D,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,"error: invalid date ""2024-03-05""",2024-04-06
51,51,51,51,E,B,C,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,"error: invalid date ""2024-03-05""",2024-03-25
52,52,52,52,B,M,D,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,"error: invalid date ""2024-03-05""",2024-03-25
53,53,53,53,F,M,C,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,"error: invalid date ""2024-03-05""",2024-03-16
54,54,54,54,D,M,A,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,"error: invalid date ""2024-03-05""",2024-04-07
55,55,55,55,B,M,A,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,"error: invalid date ""2024-03-05""",2024-03-11
56,56,56,56,G,B,A,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,"error: invalid date ""2024-03-05""",2024-04-03
57,57,57,57,B,B,A,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,"error: invalid date ""2024-03-05""",2024-04-03
58,58,58,58,C,A,C,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,"error: invalid date ""2024-03-05""",2024-03-18
59,59,59,59,C,M,B,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,"error: invalid date ""2024-03-05""",2024-03-10
60,60,60,60,G,B,A,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,"error: invalid date ""2024-03-05""",2024-03-29
61,61,61,61,F,A,D,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,"error: invalid date ""2024-03-05""",2024-03-11
62,62,62,62,D,A,B,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,"error: invalid date ""2024-03-05""",2024-04-03
63,63,63,63,F,B,A,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,"error: invalid date ""2024-03-05""",2024-03-14
64,64,64,64,E,A,B,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,"error: invalid date ""2024-03-05""",2024-03-28
65,65,65,65,B,M,C,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,"error: invalid date ""2024-03-05""",2024-04-03
66,66,66,66,F,M,B,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,"error: invalid date ""2024-03-05""",2024-03-25
67,67,67,67,E,A,C,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,"error: invalid date ""2024-03-05""",2024-04-03
68,68,68,68,G,A,A,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,"error: invalid date ""2024-03-05""",2024-03-13
69,69,69,69,A,B,A,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,"error: invalid date ""2024-03-05""",2024-04-04
70,70,70,70,F,A,B,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,"error: invalid date ""2024-03-05""",2024-04-01
71,71,71,71,C,A,A,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,"error: invalid date ""2024-03-05""",2024-03-17
72,72,72,72,C,A,D,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,"error: invalid date ""2024-03-05""",2024-03-09
73,73,73,73,C,M,B,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,"error: invalid date ""2024-03-05""",2024-03-22
74,74,74,74,C,B,D,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,"error: invalid date ""2024-03-05""",2024-03-21
75,75,75,75,C,A,D,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,"error: invalid date ""2024-03-05""",2024-03-31
76,76,76,76,C,A,D,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,"error: invalid date ""2024-03-05""",2024-03-08
77,77,77,77,G,M,C,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,"error: invalid date ""2024-03-05""",2024-03-20
78,78,78,78,B,M,D,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,"error: invalid date ""2024-03-05""",2024-03-20
79,79,79,79,D,A,A,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,"error: invalid date ""2024-03-05""",2024-04-01
80,80,80,80,B,B,D,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,"error: invalid date ""2024-03-05""",2024-04-02
81,81,81,81,G,A,C,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,"error: invalid date ""2024-03-05""",2024-03-16
82,82,82,82,C,B,B,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,"error: invalid date ""2024-03-05""",2024-04-06
83,83,83,83,A,B,C,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,"error: invalid date ""2024-03-05""",2024-03-20
84,84,84,84,A,A,D,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,"error: invalid date ""2024-03-05""",2024-03-31
85,85,85,85,D,A,A,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,"error: invalid date ""2024-03-05""",2024-03-26
86,86,86,86,D,B,C,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,"error: invalid date ""2024-03-05""",2024-03-10
87,87,87,87,A,A,A,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,"error: invalid date ""2024-03-05""",2024-03-28
88,88,88,88,E,M,C,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,"error: invalid date ""2024-03-05""",2024-04-05
89,89,89,89,B,M,A,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,"error: invalid date ""2024-03-05""",2024-03-17
90,90,90,90,G,B,D,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,"error: invalid date ""2024-03-05""",2024-03-19
91,91,91,91,C,M,C,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,"error: invalid date ""2024-03-05""",2024-04-02
92,92,92,92,D,M,B,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,"error: invalid date ""2024-03-05""",2024-03-22
93,93,93,93,C,B,C,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,"error: invalid date ""2024-03-05""",2024-03-19
94,94,94,94,D,A,A,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,"error: invalid date ""2024-03-05""",2024-03-13
95,95,95,95,F,B,D,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,"error: invalid date ""2024-03-05""",2024-03-11
96,96,96,96,A,B,B,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,"error: invalid date ""2024-03-05""",2024-03-14
97,97,97,97,E,M,B,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,"error: invalid date ""2024-03-05""",2024-03-10
98,98,98,98,C,A,C,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,"error: invalid date ""2024-03-05""",2024-03-13
99,99,99,99,B,A,C,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,"error: invalid date ""2024-03-05""",2024-03-27
100,100,100,100,C,A,C,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,"error: invalid date ""2024-03-05""",2024-03-12
