cod_reclamo,cod_representante,cod_pedido,cod_seguimiento,cod_tipo_reclamo,cod_nivel_urgencia,cod_estado_reclamo,comentario,fecha_suceso,fecha_reclamo
1,1,1,1,D,M,B,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
2,2,2,2,A,M,B,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
3,3,3,3,D,M,C,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
4,4,4,4,A,M,D,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
5,5,5,5,B,B,C,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
6,6,6,6,F,B,D,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
7,7,7,7,C,M,A,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
8,8,8,8,C,A,C,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
9,9,9,9,G,A,D,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
10,10,10,10,B,M,B,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
11,11,11,11,E,B,C,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
12,12,12,12,E,A,C,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
13,13,13,13,B,A,B,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
14,14,14,14,B,M,C,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
15,15,15,15,G,M,A,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
16,16,16,16,A,A,C,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
17,17,17,17,B,A,B,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
18,18,18,18,C,B,D,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
19,19,19,19,B,M,C,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
20,20,20,20,D,A,D,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
21,21,21,21,B,A,C,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
22,22,22,22,G,M,D,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
23,23,23,23,D,A,B,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
24,24,24,24,E,B,A,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
25,25,25,25,D,B,A,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
26,26,26,26,D,M,A,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
27,27,27,27,F,B,B,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
28,28,28,28,F,A,B,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
29,29,29,29,F,B,B,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
30,30,30,30,F,A,A,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
31,31,31,31,F,M,C,El kit de herramientas eléctricas recibido está incompleto y falta el taladro.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
32,32,32,32,A,M,C,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
33,33,33,33,E,M,A,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
34,34,34,34,D,M,B,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
35,35,35,35,F,M,B,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
36,36,36,36,B,M,B,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
37,37,37,37,E,B,A,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
38,38,38,38,A,A,A,Los guantes de látex recibidos son de una talla incorrecta y la indumentaria de protección está desgarrada.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
39,39,39,39,A,A,B,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
40,40,40,40,B,A,D,Las estanterías metálicas recibidas están oxidadas y algunas piezas están dañadas.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
41,41,41,41,D,M,B,El muslo de pollo congelado recibido está congelado en exceso y presenta cristales de hielo.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
42,42,42,42,A,A,A,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
43,43,43,43,D,M,B,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
44,44,44,44,F,M,C,Las pechugas enteras de pollos frescas recibidas están en mal estado y los colorantes naturales Chroma no se incluyeron en el pedido.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
45,45,45,45,B,A,D,La silla ergonómica recibida tiene un defecto en el respaldo y el teléfono multifuncional no funciona correctamente.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
46,46,46,46,F,B,C,Las alas de pollo congeladas recibidas están mal cortadas y no presentan el tamaño adecuando.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
47,47,47,47,B,A,C,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
48,48,48,48,B,M,A,El detergente SuperClean recibido tiene el envase roto y parte del contenido se ha derramado.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
49,49,49,49,A,A,D,Las piernas con encuentros frescas recibidas están vencidas y los muslos de pollos frescos tienen un olor extraño.,"error: invalid date ""2024-03-05""",error: no implicit conversion of ActiveSupport::Duration into String
